fert,rel_dist,prob
1,2,0.013820025740387298
1,-7,0.0011910260815914033
1,11,0.0003484080689828951
1,-32,5.530853372819745e-10
1,39,1.183838080169409e-10
1,25,1.831939445471393e-6
1,-3,0.004124198478891927
1,29,7.145679589360867e-8
1,-38,1.1737505995597078e-10
1,8,0.0011429158478284092
1,-34,1.1744271465637163e-10
1,-13,0.00011629502226807781
1,20,2.8501671744253443e-6
1,14,8.479501811313852e-5
1,31,1.0134609405778597e-7
1,-12,0.0001717908576639322
1,-28,6.141129641482647e-8
1,33,1.0561882246444302e-8
1,18,1.1606937087370949e-5
1,-24,1.6715884747187988e-7
1,-23,1.3909088367155984e-7
1,-15,4.589657600958541e-5
1,-19,1.2527558385074924e-6
1,-20,7.586455057215992e-7
1,26,1.7074787404698165e-6
1,35,3.7753372329507295e-10
1,17,1.4841232014746797e-5
1,-9,0.0005413214694071203
1,4,0.00513298820445377
1,-6,0.001713205417740951
1,37,6.314059316888954e-10
1,-10,0.00034725217927171964
1,13,0.00014610171517186383
1,-37,1.2989365801113233e-10
1,-2,0.005422259259470328
1,-5,0.0022983306579761912
1,-14,5.496812712351133e-5
1,1,0.029852357698167194
1,-16,4.345041110600392e-5
1,30,9.696975795554951e-8
1,32,3.0662104025757756e-8
1,-21,3.989951200796119e-7
1,40,7.992080145979621e-11
1,-39,7.308256833339023e-11
1,-17,1.4175059483711841e-5
1,0,0.0028804248370285826
1,7,0.0016503243280954832
1,9,0.0007526706808542325
1,34,6.225256823214737e-9
1,-33,3.2837792132225546e-9
1,-35,1.8961019113893227e-10
1,3,0.008098899944412132
1,-22,2.1137922802491458e-7
1,-18,5.138011504928409e-6
1,38,1.9953433895238292e-10
1,-30,4.82853430376451e-9
1,36,3.2190195903787675e-10
1,-31,8.583157937718106e-9
1,-27,6.23715950893609e-8
1,12,0.0002452749548119747
1,-11,0.00027241924470742856
1,-1,0.007919624150774062
1,16,3.5224489586668915e-5
1,-26,3.111389146889798e-7
1,21,6.860519732197857e-6
1,-4,0.0031710131932066953
1,10,0.0005209882184814521
1,19,3.5696274139632517e-6
1,-25,5.918331416215382e-8
1,22,7.164484434821724e-7
1,6,0.002382506039858063
1,24,4.188713577077461e-7
1,-8,0.0008514153257701716
1,-29,9.60738214181911e-9
1,28,1.5877616864214782e-7
1,-36,1.1733483360878297e-10
1,5,0.0034455997848659072
1,23,4.875851440926148e-7
1,27,1.849378176386704e-7
1,15,4.584194140314955e-5
2,2,0.014020693001328797
2,-7,0.0015183916106939724
2,11,0.0007593365115283288
2,-32,1.3868714107125403e-8
2,39,1.1570357059736251e-10
2,25,6.796685985086794e-6
2,-3,0.0035488908056777162
2,29,1.0445934069134015e-7
2,-38,1.1491770816448036e-10
2,8,0.0021129076575018457
2,-34,4.1773884736429425e-9
2,-13,0.00015554955117363695
2,20,8.350491595648222e-6
2,14,0.00023096617812981717
2,31,2.5425259850760262e-6
2,-12,0.000262364964648609
2,-28,1.1579525370837183e-7
2,33,2.383796959652868e-6
2,18,1.7102176701252893e-5
2,-24,2.8282890186409103e-6
2,-23,5.099909916419684e-7
2,-15,5.5360706200864095e-5
2,-19,3.928988079774925e-6
2,-20,2.1369690256815386e-6
2,26,2.7922798055997995e-6
2,35,5.775899411429503e-9
2,17,2.5448556447524808e-5
2,-9,0.0007799366650895378
2,4,0.006976085146849406
2,-6,0.0019091221566215398
2,37,2.494126525882939e-9
2,-10,0.000565505929271017
2,13,0.0003043079712657344
2,-37,2.1571969635917076e-9
2,-2,0.003944276333081049
2,-5,0.0024406507207203002
2,-14,9.412227503373886e-5
2,1,0.025591630449840218
2,-16,3.208483771117912e-5
2,30,8.746681065483341e-8
2,32,2.7079885746395426e-8
2,-21,5.925011033104913e-7
2,-39,8.749386709896989e-11
2,-17,1.598928743407046e-5
2,7,0.0027635937856858774
2,0,0.0011062777935455137
2,9,0.0013562258230803
2,34,7.96989469521665e-9
2,-33,1.6348003978428268e-8
2,-35,2.3164047725625074e-9
2,3,0.010206346490911334
2,-22,1.5164896182885975e-6
2,-18,2.1837241602353085e-5
2,38,3.227449543138214e-10
2,-30,4.424550170195124e-8
2,36,3.2784341156814993e-9
2,-31,1.3791161151312853e-8
2,-27,1.810941791920296e-7
2,12,0.0003917350734639048
2,-11,0.0003993569677282328
2,-1,0.004314488589356251
2,16,7.281943213408785e-5
2,-26,3.3559209541469085e-6
2,21,1.3694513640439361e-5
2,-4,0.0030201682729892473
2,10,0.000951970355810444
2,19,9.188988002966611e-6
2,-25,2.487635502522958e-7
2,22,2.06750326505697e-6
2,6,0.0038286056554568387
2,24,8.010401721170504e-7
2,-8,0.0011306223364354459
2,-29,5.62936950961933e-8
2,28,2.8262700923619274e-7
2,-36,2.4522107062898826e-9
2,5,0.005154780083406834
2,23,5.282669620625656e-6
2,27,4.452301181077182e-7
2,15,7.910525681845731e-5
16,2,0.01576041088239944
16,-7,2.7396529166792555e-5
16,11,6.182837291641917e-6
16,-32,3.596014904594437e-6
16,-3,0.00011070138043902846
16,-38,4.3717767661920606e-7
16,8,3.877475221813148e-5
16,-34,1.4664457665641002e-5
16,-13,0.00012142138235882866
16,-12,0.001870671429273093
16,-28,6.616013870073185e-6
16,-24,2.3936802571723133e-5
16,-23,1.2870370809994676e-5
16,-15,0.00010559261567745207
16,-19,3.165933587791295e-5
16,-20,2.637372205483139e-5
16,-9,0.00011628560750815399
16,4,0.004335243025795935
16,-6,3.06984838780746e-5
16,-10,0.00010512206722750403
16,13,3.6932745602516954e-5
16,-37,3.7345837165299636e-7
16,-2,2.314224265788929e-5
16,-5,2.4287023238632382e-5
16,-14,0.00012166423079661079
16,1,0.0400292009924438
16,-16,0.0001930734171126046
16,-21,9.425933221017593e-5
16,-39,2.4145576138300593e-7
16,-17,0.00010188779791356161
16,7,0.003032700742548085
16,9,6.619740376102348e-5
16,0,6.075206472103414e-8
16,-33,7.736456623676213e-6
16,-35,2.0735693348095863e-5
16,3,0.019820340248146672
16,-22,9.231869240936073e-6
16,-18,5.580456372639515e-5
16,-30,6.764786005855633e-6
16,-31,2.1789137888801594e-5
16,-27,1.5427840256761603e-5
16,12,5.414664803180637e-6
16,-11,0.00018952822040544997
16,-1,6.579224111474959e-6
16,-26,5.393103585831868e-5
16,10,1.3417085324297416e-5
16,-4,1.4018573413849427e-5
16,-25,7.566489151334892e-6
16,6,0.005288378563838578
16,-8,0.0025811861831267413
16,-29,9.323378466508797e-6
16,-36,3.6304889066655946e-7
16,5,0.0035806535165653487
11,2,0.0463400761148142
11,-7,0.0004888631790268126
11,11,1.6042328650285642e-5
11,-32,2.8839556187787046e-7
11,-3,0.00045632274751110466
11,8,0.00019722948518163374
11,-13,0.0009732805083011075
11,-12,0.0015500655523114173
11,-28,3.46760296478739e-5
11,-24,0.0002939565633654198
11,-23,0.0001680824520649328
11,-15,0.0005678667512626192
11,-19,0.00012765016309749716
11,-20,0.00012185642198948889
11,-9,0.0005019697478312926
11,4,0.009927749411907646
11,-6,0.00020811896734700174
11,-10,0.0004885992998708619
11,13,1.6554201454015976e-6
11,-2,8.768865830719687e-5
11,-5,0.0002099720825911469
11,-14,0.0002747153137365086
11,1,0.041958640434694265
11,-16,0.00016015456813127594
11,-21,0.0001177608628193536
11,-17,0.0001066187463046973
11,7,0.0016511511961723015
11,0,3.913920357014836e-5
11,9,6.332786737106661e-5
11,-33,1.8047988777813057e-8
11,3,0.020603909110625967
11,-22,0.0003456958799676318
11,-18,0.00022568627577738976
11,-30,8.711457671272716e-6
11,-31,6.193348584011657e-7
11,-27,0.001225855286520663
11,12,8.423155087255887e-6
11,-11,0.00030573616014142294
11,-1,0.00028466686044361473
11,16,3.6096497861882224e-7
11,-26,0.0002118624326686752
11,-4,0.001875542474895187
11,10,0.0004684668366836501
11,-25,5.995551160390734e-5
11,6,0.003770595008485166
11,-8,0.00021924253416681874
11,-29,3.387039621324226e-5
11,5,0.002016162224885502
7,2,0.023558152199094032
7,-7,0.0013094513168175346
7,11,0.00010868586365147788
7,-32,1.565517069686302e-6
7,-3,0.0005932256229029953
7,8,0.0009339512866609569
7,-13,0.000483397344749062
7,14,9.0882520412244e-6
7,-12,0.0004850322155791216
7,-28,0.00012737332598355882
7,18,9.904222902007401e-8
7,-24,3.642224616678747e-6
7,-23,5.0560745054314616e-6
7,-15,0.00020274950865122247
7,-19,7.60498552013686e-5
7,-20,2.8905536242940174e-5
7,17,5.507734015451375e-8
7,-9,0.0006079605283782964
7,4,0.006064257523707062
7,-6,0.0005274785896812269
7,-10,0.0008555212705332937
7,13,3.129098040935283e-5
7,-2,0.0007951406304764261
7,-5,0.0004822045503472832
7,-14,0.00026200374395539465
7,1,0.034715611615284095
7,-16,0.0001258589512677249
7,-21,0.00012126639604553652
7,-17,0.00013949448672986623
7,7,0.0008194304645963626
7,9,0.0003457370252702057
7,0,7.558472624799693e-5
7,-33,1.6411088088348643e-6
7,3,0.012972244556596483
7,-22,7.418306029849678e-6
7,-18,0.00028351220752288346
7,-30,1.745183735902742e-6
7,-31,1.746859858236768e-6
7,-27,5.7790940770910695e-6
7,12,7.171581968686695e-5
7,-11,0.0006970553366210787
7,-1,0.0007314810439615246
7,16,4.2418399994589e-7
7,-26,2.713097816636928e-6
7,-4,0.0006173580436150747
7,10,0.00019166577857602824
7,19,2.520829962877718e-8
7,-25,6.272206022061484e-6
7,6,0.0023727910280085087
7,-8,0.0005759157837337701
7,-29,2.1162764844350626e-6
7,5,0.00345225071998692
7,15,1.7797046985110917e-7
9,2,0.022706498372444754
9,-7,0.0005524791159766513
9,11,4.69734667388955e-5
9,-32,1.3663608976749056e-7
9,-3,0.00013736696138867747
9,8,0.0007535853048294068
9,-13,0.0003926735343556952
9,-12,0.0006105473607319581
9,-28,5.986846982543814e-6
9,-24,5.283740616417079e-5
9,-23,5.15509530274268e-5
9,-15,0.0001608576129170045
9,-19,0.0001499077331252449
9,-20,0.0010354976305366162
9,-9,0.0002920953851415671
9,4,0.010499343231575217
9,-6,0.00016393283639077504
9,-10,0.0017842518245943964
9,13,7.236916432356666e-7
9,-2,0.0006141148204118479
9,-5,0.0001761690917298114
9,-14,0.0006693919957578979
9,1,0.027053122998977393
9,-16,0.0001663270347311497
9,-21,0.00010745110866132919
9,-17,0.0001378645238086362
9,7,0.0008097313932384418
9,9,0.0005348183286809454
9,0,3.0810817062971085e-5
9,-33,1.1366975750263007e-7
9,3,0.012510031932387476
9,-22,0.000802504173925053
9,-18,0.00011761350853265437
9,-30,4.919554918678377e-7
9,-31,9.091531411758923e-8
9,-27,4.105616951182292e-5
9,12,1.1809892713736314e-5
9,-11,0.0002886283623419298
9,-1,0.000431532482219304
9,-26,3.32001333896874e-5
9,-4,0.0001658212824793007
9,10,3.759008787456557e-5
9,-25,1.874803047411711e-5
9,6,0.0018472277200438504
9,-8,0.00016312178171432618
9,-29,6.263020688227807e-7
9,5,0.003691306035357811
10,2,0.03508461059319078
10,-7,0.0006870085097808876
10,11,3.2106272318423935e-5
10,-3,0.00026996123763146966
10,8,0.00025998893685253045
10,-13,0.000443831747963138
10,-12,0.00048043587101902695
10,-28,2.0854442894086996e-5
10,-24,0.00015602412769483788
10,-23,0.0001933621893313591
10,-15,0.00016986520892462088
10,-19,0.00022446649583645516
10,-20,0.0004294051558947678
10,-9,0.00018819656893531117
10,4,0.01244410008164728
10,-6,0.000327308953018195
10,-10,0.0009894735985122955
10,-2,0.0001238493541194929
10,-5,0.00018368584851176525
10,-14,0.0003655965835990398
10,1,0.030378155707354297
10,-16,0.00012691034326594338
10,-21,0.0004920361441433415
10,-17,0.00013452210189703441
10,7,0.001248403072268812
10,9,0.00013393758710341568
10,0,1.1146064910368782e-5
10,3,0.018029820285610534
10,-22,0.0020184283712757394
10,-18,0.0001588518988427712
10,-30,1.8995160436510726e-6
10,-27,0.0013092972280233045
10,12,9.157107053611709e-6
10,-11,0.0001865855921841667
10,-1,0.00015880177741478272
10,-26,5.25637757659475e-5
10,-4,0.0005346115763490239
10,10,0.00026800956233509325
10,-25,0.00015652620582871625
10,6,0.004916350539532685
10,-8,0.0003092605626711516
10,-29,1.143141900699953e-5
10,5,0.0030755466648212824
19,-16,0.00013243359547054754
19,2,0.013557322993322801
19,-11,0.00031238292037168267
19,-9,0.00020003639342928558
19,6,0.001604362306388924
19,4,0.005246841797889554
19,-8,0.003686844431884559
19,-10,0.00019878600044883634
19,3,0.010290110300786477
19,5,0.005654702231198369
19,-12,0.00019949965364481805
19,1,0.045890310518693016
17,2,0.01194250023740055
17,-7,1.5342077776649707e-5
17,11,4.2571945220570497e-7
17,-32,5.011078436317291e-6
17,-3,8.554798924506142e-5
17,8,4.998679013830882e-6
17,-34,2.6179210688890006e-6
17,-13,1.2605161268463404e-5
17,-12,0.00019999347409030532
17,-28,2.647470938212776e-6
17,-24,4.873074320368336e-6
17,-23,4.649899837925847e-6
17,-15,3.3940197157764416e-5
17,-19,5.844749504837733e-5
17,-20,3.834122190530847e-5
17,-9,8.457100235887248e-5
17,4,0.0041464747394341014
17,-6,2.6598732321483804e-5
17,-10,7.688321162143151e-5
17,13,1.3546968118391194e-6
17,-2,0.0001367197264889173
17,-5,0.0001314558020212829
17,-14,0.00012675926039714013
17,1,0.031095518794432463
17,-16,6.0297183879686646e-5
17,-21,2.0240887056701618e-5
17,-17,2.8396204582687394e-5
17,7,0.00026949346488938875
17,9,7.49051420128281e-6
17,0,2.2085086431704855e-6
17,-33,6.933718184744215e-6
17,-35,3.117313964903698e-6
17,3,0.008696257463132007
17,-22,9.183018471376796e-6
17,-18,1.0033048596198816e-5
17,-30,5.841407510763719e-6
17,-31,1.4134187385945306e-5
17,-27,3.815738526436169e-6
17,12,6.363807822676795e-7
17,-11,7.336160135628609e-5
17,-1,7.038954852088036e-6
17,-26,5.088526313478507e-6
17,10,5.03713329360361e-7
17,-4,2.9630592427808886e-5
17,-25,6.9666791512179534e-6
17,6,0.003496463938138451
17,-8,0.0026194051451992593
17,-29,4.038780869072028e-5
17,5,0.003839431165244943
8,2,0.02009101803803859
8,-7,0.0005817499248229096
8,11,4.0676398770244766e-5
8,-32,1.4318072386878382e-6
8,-3,0.0002323683320347972
8,8,0.0004439874858755495
8,-13,0.0004280997438817989
8,14,8.425778421703113e-7
8,-12,0.0008370941019918711
8,-28,4.4432935009632034e-5
8,-24,6.080328737487293e-6
8,-23,7.982030707657819e-6
8,-15,0.00029391741054009366
8,-19,5.060962357983293e-5
8,-20,0.00024326370232577321
8,-9,0.0005292947902418991
8,4,0.007445166863606166
8,-6,0.00034223318247449114
8,-10,0.0012988389751983091
8,13,1.7154659264384473e-5
8,-2,0.0009081278884123771
8,-5,0.00024176883913694765
8,-14,0.0005067425041816613
8,1,0.029242229580167593
8,-16,0.00021386561291912177
8,-21,4.855003024177019e-5
8,-17,0.000263177490821053
8,0,2.5192543388514e-5
8,7,0.0011323682148513187
8,9,0.0001994006281503645
8,-33,8.015393952220154e-7
8,3,0.015248522704182603
8,-22,4.9094560803544304e-5
8,-18,6.551719657237489e-5
8,-30,2.3175897371597775e-6
8,-31,1.022255074764456e-6
8,-27,2.010715313530156e-6
8,12,2.0952700377822824e-5
8,-11,0.0006073689931882663
8,-1,0.0007781387955401367
8,-26,6.1004097270709774e-6
8,-4,0.0002761214768515485
8,10,0.00024366974659456884
8,-25,5.188777811062552e-6
8,6,0.0021144056111202124
8,-8,0.0004221775789909565
8,-29,4.026612045505866e-6
8,5,0.0029809264068890347
8,15,1.1403960718712495e-7
6,2,0.025818649607530768
6,-7,0.0012096555584014904
6,11,0.00010273818358093622
6,-32,2.820425144393909e-7
6,-3,0.0009645695710630856
6,8,0.0009257026176564111
6,-13,0.0005946370134033181
6,20,2.141298510142123e-8
6,14,3.671193982715391e-5
6,-12,0.000514990613172015
